,sample_id,analyte,concentration,sampling_date,units,is_detected,source_type,state,sampling_location,latitude,longitude,data_source
165,WW-3155,PFOA,0.0,2022-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
166,WW-3158,PFOA,0.0,2021-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
167,WW-3159,PFOA,0.0,2021-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
168,WW-3159,PFOA,0.95,2022-02-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
169,WW-3160,PFOA,0.0,2021-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
170,WW-4,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
171,WW-401,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
172,WW-401,PFOA,0.0,2022-02-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
173,WW-402,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
174,WW-403,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
175,WW-404,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
176,WW-405,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
177,WW-406,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
178,WW-5,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
179,WW-6,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
180,WW-7,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
181,WW-8,PFOA,2.0,2020-08-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
182,WW-9,PFOA,0.0,2020-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
183,WW-9,PFOA,0.0,2021-08-01,ng/L,False,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
184,WW-9,PFOA,1.0,2022-05-01,ng/L,True,groundwater,Wyoming,Jackson Hole Airport,43.6088,110.7376,Jackson Hole Airport
