,Water System Name / Well Name,USGS Site ID,County,Date,PFBS,PFPeS,PFHxS,PFHpS,PFOS,PFNS,PFDS,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFOSA,N-MeFOSAA,N-EtFOSAA,4:2 FTS,6:2 FTS,8:2 FTS,9Cl-PF3ONS,11Cl-PF3OUdS,ADONA,HFPO-DA,"PFOA+ PFOS
(ng/L)","ΣPFAS
(ng/L)",Total PFAS includes estimated values?
28,Texico Water System / Tower well,342326103024501,Curry,2020-12-16 00:00:00,28.8,,,,,,,17.8,20.1,8,,,,,,,,,,,,,,,,,,,--,74.7,No
29,Texico Water System / Tower well,342326103024501,Curry,2021-02-09 00:00:00,32.4,,,,,,,19,19.9,9,,,,,,,,,,,,,,,,,,,--,80.3,No
30,Texico Water System / Tower well,342326103024501,Curry,2021-06-02 00:00:00,27.5,,,,,,,15.2,15.1,5.3,,,,,,,,,,,,,,,,,,,--,63.1,No
31,Turqoise Estates Water Coop / Well 1,342444103182201,Curry,2021-01-12 00:00:00,6.7,1.7,2.6,,,,,7.7,14,11.2,,,,,,,,,,,,,,,,,,,--,43.9,Yes
32,Turqoise Estates Water Coop / Well 3,342444103180601,Curry,2021-01-12 00:00:00,2,,3.4,,,,,,5,5.4,,,,,,,,,,,,,,,,,,,--,15.8,Yes
33,Lake Section WC / Butler well,320302106253101,Doña Ana,2021-01-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
34,Lake Section WC / Gruber well,320116106262101,Doña Ana,2021-01-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
35,Lake Section WC / Guffey well,320126106254001,Doña Ana,2021-01-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
36,Lake Section WC / Sylvia well,320153106254101,Doña Ana,2021-01-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
37,Lake Section WC / Well POD 13,320330106254801,Doña Ana,2021-01-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
38,Las Cruces Municipal Water System / Well 32,321806106461501,Doña Ana,2020-09-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
39,Las Cruces Municipal Water System / Well 59,321804106484001,Doña Ana,2020-09-29 00:00:00,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,Yes
40,Gallup Water System / Ray well,353814108473001,McKinley,2021-04-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
41,Gallup Water System / Well 16,353314108453101,McKinley,2021-04-26 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
42,Alamo Heights WUA / Well 1,325645105574101,Otero,2021-05-27 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
43,Alamogordo Domestic Water System / Golf Course well,325132105573201,Otero,2021-08-16 00:00:00,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,8,8,No
44,Alamogordo Domestic Water System / Prather 1 North,324752105585301,Otero,2020-09-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
45,Alamogordo Domestic Water System / Prather 1 North,324752105585301,Otero,2021-04-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
46,Alamogordo Domestic Water System / Prather 2 South,324711105585201,Otero,2020-09-18 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
47,Alamogordo Domestic Water System / Prather 2 South,324711105585201,Otero,2021-04-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--,--,
